Stage,Micro F1,Macro F1,mAP
1. Base CNN,0.9850222326234496,0.975173220874212,0.996888672501174
2. + Focal Loss,0.7982087495694109,0.8651952508861531,0.9216459516830057
3. + Bayesian Opt,0.9712791665016044,0.9609340452419071,0.9949610575218885
4. + ASVD,0.8974811487245308,0.9156178181897741,0.9628538064348795
5. + INT8 Quant,0.8973338639076801,0.9199709667416001,0.9614223972793364
